epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,173.527,1.58308,1.78994,1.56753,1.39658,0.57555,0.21429,0.29587,0.09004,0.31869,0.36808,0.28559,0.15134,2.96535,2.14392,2.09606,2.53432,0.0016304,0.0016304,0.0016304
114,174.814,1.47807,1.55837,1.45556,1.34564,0.40517,0.35714,0.3316,0.09319,0.32414,0.28571,0.28627,0.1418,2.58162,2.15655,2.36126,2.06019,0.0016271,0.0016271,0.0016271
115,176.032,1.47876,1.61111,1.51377,1.37891,0.40517,0.35714,0.3316,0.09319,0.32414,0.28571,0.28627,0.1418,2.58162,2.15655,2.36126,2.06019,0.0016238,0.0016238,0.0016238
116,177.386,1.44285,1.52904,1.45118,1.33502,0.37917,0.42857,0.36827,0.10883,0.49056,0.28571,0.36539,0.14854,2.44432,1.94008,2.37048,1.93437,0.0016205,0.0016205,0.0016205
117,178.588,1.47634,1.6319,1.53862,1.34472,0.37917,0.42857,0.36827,0.10883,0.49056,0.28571,0.36539,0.14854,2.44432,1.94008,2.37048,1.93437,0.0016172,0.0016172,0.0016172
118,179.913,1.69079,1.79021,1.51597,1.44057,0.32962,0.42181,0.35877,0.12147,0.28617,0.5,0.33876,0.15752,2.36195,1.89925,2.23045,1.8647,0.0016139,0.0016139,0.0016139
119,181.109,1.48736,1.62092,1.35399,1.26987,0.32962,0.42181,0.35877,0.12147,0.28617,0.5,0.33876,0.15752,2.36195,1.89925,2.23045,1.8647,0.0016106,0.0016106,0.0016106
120,182.404,1.44148,1.48748,1.40742,1.27591,0.23274,0.42857,0.34118,0.09067,0.25106,0.64286,0.32734,0.1402,2.42624,1.91244,2.18763,1.89873,0.0016073,0.0016073,0.0016073
121,183.635,1.49227,1.54998,1.70538,1.3433,0.23274,0.42857,0.34118,0.09067,0.25106,0.64286,0.32734,0.1402,2.42624,1.91244,2.18763,1.89873,0.001604,0.001604,0.001604
122,186.006,1.53441,1.89131,1.47251,1.32347,0.37808,0.35714,0.35579,0.08639,0.33012,0.31811,0.28603,0.12678,2.44874,2.04187,2.0664,1.83143,0.0016007,0.0016007,0.0016007
123,187.243,1.49161,1.7398,1.5073,1.36512,0.37808,0.35714,0.35579,0.08639,0.33012,0.31811,0.28603,0.12678,2.44874,2.04187,2.0664,1.83143,0.0015974,0.0015974,0.0015974
124,188.586,1.318,1.39999,1.34051,1.24806,0.31466,0.5,0.4138,0.10476,0.68838,0.28571,0.345,0.15615,2.49262,2.13597,1.94008,1.84388,0.0015941,0.0015941,0.0015941
